,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-03,1,0.01120408163265306,-0.6455777921239509,CMG,433.6000061035156,447.4599914550781,433.2799987792969,437.9500122070313,437.9500122070313,1290400,,
1,2016-05-04,5,0.05202040816326531,3.6429872495446274,CMG,437.05999755859375,438.7000122070313,432.1000061035156,433.2999877929688,433.2999877929688,674800,-8.759979248046818,-0.019577122905582223
2,2016-05-09,2,0.02140816326530612,-0.5884660651235779,CMG,435.0499877929688,456.8800048828125,435.0499877929688,453.1700134277344,453.1700134277344,1420900,18.179992675781193,0.041440602165293994
3,2016-05-11,1,0.01120408163265306,-0.4766444232602479,CMG,455.9700012207031,459.2999877929688,450.2699890136719,454.0,454.0,1046000,2.419982910156307,0.005296758195353801
4,2016-05-20,10,0.10304081632653062,8.196721311475411,CMG,448.8999938964844,450.2300109863281,439.80999755859375,449.9200134277344,449.9200134277344,1314200,-9.069976806640682,-0.019747391786844593
5,2016-05-23,1,0.01120408163265306,-0.8912655971479501,CMG,452.6199951171875,467.0,451.0700073242188,456.4400024414063,456.4400024414063,1056200,16.769989013671875,0.037247603679136265
6,2016-05-24,1,0.01120408163265306,0.0,CMG,460.0,461.0400085449219,453.3900146484375,457.3299865722656,457.3299865722656,651500,-5.959991455078125,-0.012762294336355673
7,2016-05-27,1,0.01120408163265306,0.0,CMG,452.5,453.5299987792969,442.6499938964844,445.4100036621094,445.4100036621094,1013100,-7.510009765625,-0.016289279946283153
8,2016-06-03,1,0.01120408163265306,0.0,CMG,440.3699951171875,441.2300109863281,433.6400146484375,433.9400024414063,433.9400024414063,874800,-12.29998779296875,-0.027120560549632633
9,2016-06-06,7,0.07242857142857143,5.464480874316941,CMG,436.1199951171875,446.6499938964844,435.0199890136719,445.2699890136719,445.2699890136719,800700,5.41998291015625,0.012283803855590802
10,2016-06-08,2,0.02140816326530612,-0.7044237813468583,CMG,433.0,434.8699951171875,423.0,429.2000122070313,429.2000122070313,990200,-11.779998779296875,-0.026374116064640574
11,2016-06-09,1,0.01120408163265306,-0.4766444232602479,CMG,426.1199951171875,427.2000122070313,415.1499938964844,415.7900085449219,415.7900085449219,1198400,-7.669982910156193,-0.01763741577086575
12,2016-06-10,6,0.06222448979591837,4.5537340619307844,CMG,412.55999755859375,413.8699951171875,403.1300048828125,405.260009765625,405.260009765625,1562700,-13.330017089843807,-0.031203222633298444
